title,cast,director,genres,keywords,title,overview,tagline
Woo,"['Jada Pinkett Smith', 'Tommy Davidson', 'Duane Martin', 'Michael Ralph', 'Darrel Heath']",Daisy von Scherler Mayer,"['Comedy', 'Romance']","['blind date', 'love', 'manhattan, new york city', 'woman director']",Woo,Gorgeous and extraverted Woo meets insecure and straight-laced law clerk Tim at a blind date.,It's Woo's world.. we're just living in it.
Room,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'Sean Bridgers', 'William H. Macy']",Lenny Abrahamson,"['Drama', 'Thriller']","['based on novel', 'carpet', 'isolation', 'kidnapping', 'imprisonment', 'grandparents', 'escape', 'hospital', 'dog', 'captive', 'mother son relationship', 'shed', 'skylight']",Room,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,Love knows no boundaries
Dirty Work,"['Norm Macdonald', 'Artie Lange', 'Jack Warden', 'Traylor Howard', 'Don Rickles']",Bob Saget,['Comedy'],[],Dirty Work,"Unemployed and recently dumped, Mitch and his buddy Sam start a revenge-for-hire business to raise the $50,000 that Sam's father needs to get a heart transplant. The dirty duo brings down a movie theater manager and hires hookers to pose as dead bodies during a live TV ad. When a wealthy developer hires the guys to trash a building (so that he can have it condemned), problems arise and a feud ensues.",Revenge is a dish best served DIRTY.
Serial Mom,"['Kathleen Turner', 'Sam Waterston', 'Ricki Lake', 'Matthew Lillard', 'Traci Lords']",John Waters,"['Comedy', 'Crime', 'Horror', 'Thriller']","['housewife', 'protection', 'motherly love', 'evil mother', 'murder', 'independent film', 'perfection']",Serial Mom,"A picture perfect middle class family is shocked when they find out that one of their neighbors is receiving obscene phone calls. The mom takes slights against her family very personally, and it turns out she is indeed the one harassing the neighbor. As other slights befall her beloved family, the body count begins to increase.","Every Mom Wants to Be Wanted, But Not For Murder One!"
Dick,"['Kirsten Dunst', 'Michelle Williams', 'Will Ferrell', 'Dan Hedaya', 'Bruce McCulloch']",Andrew Fleming,['Comedy'],"['richard nixon', 'watergate', 'the white house']",Dick,"Comedy about two high school girls who wander off during a class trip to the White House and meet President Richard Nixon. They become the official dog walkers for Nixon's dog Checkers, and become his secret advisors during the Watergate scandal.",The unmaking of the president
Light It Up,"['Usher Raymond', 'Vanessa Williams', 'Forest Whitaker', 'Rosario Dawson', ""Robert Ri'chard""]",Craig Bolotin,"['Drama', 'Thriller']",[],Light It Up,"On a winter day in a southside Queens high school, events collide and six students are suddenly in an armed standoff with the NYPD. At the school, classrooms freeze, teachers come and go, resources are scant.",
54,"['Ryan Phillippe', 'Salma Hayek', 'Breckin Meyer', 'Mike Myers', 'Neve Campbell']",Mark Christopher,"['Music', 'Drama']","['new york', 'sex', 'nightclub', 'money', 'drug', 'disco']",54,"Shane, a Jersey boy with big dreams, crosses the river in hopes of finding a more exciting life at Studio 54. When Steve Rubell, the mastermind behind the infamous disco, plucks Shane from the sea of faces clamoring to get inside his club, Shane not only gets his foot in the door, but lands a coveted job behind the bar – and a front-row seat at the most legendary party on the planet.",You've never been anywhere until you've been here
Bubble Boy,"['Jake Gyllenhaal', 'Swoosie Kurtz', 'Marley Shelton', 'Danny Trejo', 'John Carroll Lynch']",Blair Hayes,"['Adventure', 'Comedy', 'Drama', 'Romance']","['lovesickness', 'niagara falls', 'crush', 'youth', 'illness']",Bubble Boy,"Jimmy is young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom... who pines for the sweet caresses of girl-next-door Chloe. But when Chloe decides to marry her high school boyfriend, Jimmy -- bubble suit and all -- treks cross-country to stop her. Swoosie Kurtz, as Jimmy's overprotective mom, co-stars along with Fabio, who portrays the leader of a religious cult.",Life is an adventure. Don't blow it.
Birthday Girl,"['Nicole Kidman', 'Ben Chaplin', 'Vincent Cassel', 'Mathieu Kassovitz', 'Kate Lynn Evans']",Jez Butterworth,"['Comedy', 'Crime', 'Thriller']","['female nudity', 'robbery', 'mail order bride', 'bank clerk']",Birthday Girl,"A shy bank clerk orders a Russian mail order bride, and finds his life turned upside down.",
21 & Over,"['Miles Teller', 'Skylar Astin', 'Justin Chon', 'Sarah Wright', 'Jonathan Keltz']",Jon Lucas,['Comedy'],"['alcohol', 'birthday', 'debauchery']",21 & Over,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",Finally.
"Paris, je t'aime","['Steve Buscemi', 'Natalie Portman', 'Willem Dafoe', 'Maggie Gyllenhaal', 'Axel Kiener']",Isabel Coixet,"['Drama', 'Romance']","['paris', 'city portrait', 'jazz', 'subway', 'new love', 'immigration', 'nanny', 'tourist', 'woman director']","Paris, je t'aime","Olivier Assayas, Gus Van Sant, Wes Craven and Alfonso Cuaron are among the 20 distinguished directors who contribute to this collection of 18 stories, each exploring a different aspect of Parisian life. The colourful characters in this drama include a pair of mimes, a husband trying to chose between his wife and his lover, and a married man who turns to a prostitute for advice.",Fall in love with Paris 18 times.
Resurrecting the Champ,"['Samuel L. Jackson', 'Josh Hartnett', 'Alan Alda', 'Teri Hatcher', 'Kathryn Morris']",Rod Lurie,['Drama'],['sport'],Resurrecting the Champ,"Up-and-coming sports reporter rescues a homeless man (""Champ"") only to discover that he is, in fact, a boxing legend believed to have passed away. What begins as an opportunity to resurrect Champ's story and escape the shadow of his father's success becomes a personal journey as the ambitious reporter reexamines his own life and his relationship with his family.",
Admission,"['Tina Fey', 'Paul Rudd', 'Michael Sheen', 'Lily Tomlin', 'Wallace Shawn']",Paul Weitz,"['Comedy', 'Drama', 'Romance']","['princeton university', 'admissions']",Admission,"Strait-laced Princeton University admissions officer Portia Nathan is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, the freewheeling John Pressman. Pressman has surmised that Jeremiah, his gifted yet very unconventional student, might well be the son that Portia secretly gave up for adoption many years ago. Soon, Portia finds herself bending the rules for Jeremiah, putting at risk the life she thought she always wanted – but in the process finding her way to a surprising and exhilarating life and romance she never dreamed of having.",Let someone in.
The Widow of Saint-Pierre,"['Daniel Auteuil', 'Emir Kusturica', 'Juliette Binoche', 'Michel Duchaussoy', 'Philippe Magnan']",Patrice Leconte,"['Romance', 'Drama']","['france', 'island', 'fisherman', 'love', 'revenge', 'murder', 'execution', '19th century']",La veuve de Saint-Pierre,"In 1850, on the isolated French island of Saint-Pierre, a murder shocks the natives. Two fishermen are arrested. One of them, Louis Ollivier, dies in custody. The other, Neel Auguste, is sentenced to death by the guillotine. The island is so small that it has neither a guillotine nor an executioner. While those are sent for Auguste is placed under the supervision of army Captain.",
Chloe,"['Julianne Moore', 'Liam Neeson', 'Amanda Seyfried', 'Max Thieriot', 'R. H. Thomson']",Atom Egoyan,"['Drama', 'Thriller', 'Mystery']","['toronto', 'lesbian', 'remake of french film', 'suspicious wife', 'female doctor', 'playing piano']",Chloe,"A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.","If the one you love was lying to you, how far would you go to find out the truth?"
Faithful,"['Cher', 'Chazz Palminteri', ""Ryan O'Neal"", 'Paul Mazursky', 'Amber Smith']",Paul Mazursky,"['Comedy', 'Crime', 'Drama']","['kitchen', 'female protagonist', 'bathtub', 'wedding anniversary', 'flashback']",Faithful,"A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.","A comedy about a wife, her husband and his hit man."
Find Me Guilty,"['Vin Diesel', 'Alex Rocco', 'Frank Pietrangolare', 'Richard DeDomenico', 'Paul Borghese']",Sidney Lumet,"['Drama', 'Action', 'Comedy', 'Crime']","['court case', 'staatsanwältin', 'family clan', 'gangster']",Find Me Guilty,"Based on the true story of Jack DiNorscio, a mobster who defended himself in court for what would be the longest mafia trial in U.S. history.",
The Perks of Being a Wallflower,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Paul Rudd', 'Nina Dobrev']",Stephen Chbosky,"['Drama', 'Romance']","['shyness', 'secret', 'narration', 'kiss', 'freshman', 'coming of age', 'teenage boy', 'high school student', 'first love', 'aunt nephew relationship', 'gay lead character', 'santa hat', 'lgbt teen', 'aunt nephew incest', 'based on young adult novel']",The Perks of Being a Wallflower,"A coming-of-age story based on the best-selling novel by Stephen Chbosky, which follows 15-year-old freshman Charlie, an endearing and naive outsider who is taken under the wings of two seniors. A moving tale of love, loss, fear and hope - and the unforgettable friends that help us through life.",We are infinite.
Excessive Force,"['Thomas Ian Griffith', 'Lance Henriksen', 'James Earl Jones', 'Burt Young', 'Tony Todd']",Jon Hess,['Action'],"['police', 'shoulder holster', 'police shootout', 'shootout at a train station']",Excessive Force,"Chicago policeman Terry McCain is determined to put away mobster Sal DiMarco, who always gets acquitted on technicalities. While monitoring a drug sale, a shootout ensues, and one of Terry's fellow officers gets away with $3 million of Sal's money. Suspecting Terry took the cash, the mobster sends his men to kill Terry's brother, Dylan, and partner, Frankie Hawkins. Furious, Terry sets out to take his revenge by any means necessary.",You have the right to remain silent... permanently.
Infamous,"['Sigourney Weaver', 'Toby Jones', 'Gwyneth Paltrow', 'Sandra Bullock', 'Isabella Rossellini']",Douglas McGrath,['Drama'],"['killing', 'death penalty', 'kansas', 'author', 'murder hunt']",Infamous,"While researching his book In Cold Blood, writer Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith.",There's more to the story than you know
The Claim,"['Peter Mullan', 'Milla Jovovich', 'Wes Bentley', 'Nastassja Kinski', 'Sarah Polley']",Michael Winterbottom,"['Drama', 'Romance', 'Western']",[],The Claim,"A prospector sells his wife and daughter to another gold miner for the rights to a gold mine. Twenty years later, the prospector is a wealthy man who owns much of the old west town named Kingdom Come. But changes are brewing and his past is coming back to haunt him. A surveyor and his crew scouts the town as a location for a new railroad line and a young woman suddenly appears in the town and is evidently the man's daughter.",Everything has a price.
The Vatican Tapes,"['Olivia Taylor Dudley', 'Michael Peña', 'Djimon Hounsou', 'Dougray Scott', 'Peter Andersson']",Mark Neveldine,"['Thriller', 'Horror']","['exorcism', 'anti-christ', 'exorcist']",The Vatican Tapes,"In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. This is the first tape - Case 83-G - stolen from these archives and exposed to the public by an anonymous source.","For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls."
Attack the Block,"['Nick Frost', 'Jodie Whittaker', 'John Boyega', 'Luke Treadaway', 'Flaminia Cinque']",Joe Cornish,"['Action', 'Comedy', 'Science Fiction']","['street gang', 'fireworks', 'chase', 'meteor', 'playground', 'arrest', 'cannabis', 'moped', 'car set on fire', 'car crash', 'alien', 'social satire', 'crime', 'race', 'naive children']",Attack the Block,A teen gang in a grim South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,Inner City vs. Outer Space
